"Date (MMM DD, YYYY)",Transaction Type,Stock / ETF Symbol,Quantity of Units,Amount per unit,Total Amount,Fees,Investment Account,Split Ratio (new shares per old share),Note
"Jan 29, 2020",Buy,ES-JUMBO25,9.1479776,31.8113,291.01,0,SET,,
"Jan 29, 2020",Buy,ES-Fixed_Income,68.5763456,12.7435,873.9,0,SET,,
"Feb 13, 2020",Buy,$CASH,0.07,1,0.07,0,E*TRADE,,
"Feb 13, 2020",Buy,$CASH,1051.78,1,1051.78,0,E*TRADE,,
"Feb 13, 2020",Dividend,AAPL,,,1051.78,,E*TRADE,,
"Feb 13, 2020",Dividend,$CASH,0.07,1,0.07,0,E*TRADE,,
"Feb 18, 2020",Buy,ZEN:BKK,16200,12.3,199260,334.74,SET,,
"Feb 19, 2020",Buy,$CASH,46820.95,1,46820.95,0,E*TRADE,,
"Feb 19, 2020",Sell,BAC,1350,34.6813,46820.95,1.2,E*TRADE,,
"Feb 26, 2020",Buy,ES-SET50,19.134428,30.4173,582.02,0,SET,,
"Feb 26, 2020",Buy,ES-Tresury,98.3076726,11.8526,1165.2,0,SET,,
"Feb 26, 2020",Buy,ES-JUMBO25,10.0460066,28.9676,291.01,0,SET,,
"Feb 26, 2020",Buy,ES-Fixed_Income,68.0652862,12.8391,873.9,0,SET,,
"Mar 2, 2020",Buy,BRK.B,24,206.455,4954.92,0,E*TRADE,,
"Mar 2, 2020",Sell,$CASH,4954.92,1,4954.92,0,E*TRADE,,
"Mar 4, 2020",Buy,DAL,977,46.4485,45380.18,0,E*TRADE,,
"Mar 4, 2020",Sell,$CASH,45380.18,1,45380.18,0,E*TRADE,,
"Mar 5, 2020",Sell,TCAP:BKK,7800,52.75,411450,691.2,SET,,
"Mar 27, 2020",Buy,ES-SET50,23.4647192,24.804,582.02,0,SET,,
"Mar 27, 2020",Buy,ES-Tresury,98.245029,11.8601,1165.2,0,SET,,
"Mar 27, 2020",Buy,ES-JUMBO25,12.251063,23.7538,291.01,0,SET,,
